jahr,bezirk,plz,kaufkraft_plz,rang_plz,kaufkraft_bezirk,kaufkraft_berlin
2026,Charlottenburg-Wilmersdorf,10585,4.248,107,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10587,4.261,105,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10589,3.657,168,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10623,4.695,65,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10625,3.937,146,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10627,4.228,109,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10629,4.772,59,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10707,4.917,50,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10709,4.438,91,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10711,4.663,68,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10713,4.207,116,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10715,4.219,112,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10717,4.272,104,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10719,5.079,44,1.288,4.445
2026,Charlottenburg-Wilmersdorf,10789,4.984,47,1.288,4.445
2026,Charlottenburg-Wilmersdorf,13627,3.641,171,1.288,4.445
2026,Charlottenburg-Wilmersdorf,14050,4.638,71,1.288,4.445
2026,Charlottenburg-Wilmersdorf,14052,4.882,51,1.288,4.445
2026,Charlottenburg-Wilmersdorf,14055,5.935,22,1.288,4.445
2026,Charlottenburg-Wilmersdorf,14057,4.561,74,1.288,4.445
2026,Charlottenburg-Wilmersdorf,14059,4.090,129,1.288,4.445
2026,Charlottenburg-Wilmersdorf,14193,6.045,17,1.288,4.445
2026,Charlottenburg-Wilmersdorf,14197,4.021,133,1.288,4.445
2026,Charlottenburg-Wilmersdorf,14199,5.360,37,1.288,4.445
2026,Friedrichshain-Kreuzberg,10243,4.386,96,1.224,4.445
2026,Friedrichshain-Kreuzberg,10245,4.133,123,1.224,4.445
2026,Friedrichshain-Kreuzberg,10247,3.926,148,1.224,4.445
2026,Friedrichshain-Kreuzberg,10249,4.220,111,1.224,4.445
2026,Friedrichshain-Kreuzberg,10961,3.720,165,1.224,4.445
2026,Friedrichshain-Kreuzberg,10963,4.784,57,1.224,4.445
2026,Friedrichshain-Kreuzberg,10965,4.214,115,1.224,4.445
2026,Friedrichshain-Kreuzberg,10967,3.870,152,1.224,4.445
2026,Friedrichshain-Kreuzberg,10969,4.458,87,1.224,4.445
2026,Friedrichshain-Kreuzberg,10997,3.550,177,1.224,4.445
2026,Friedrichshain-Kreuzberg,10999,3.717,166,1.224,4.445
2026,Lichtenberg,10315,4.113,126,815,4.445
2026,Lichtenberg,10317,3.924,149,815,4.445
2026,Lichtenberg,10318,5.497,32,815,4.445
2026,Lichtenberg,10319,4.124,124,815,4.445
2026,Lichtenberg,10365,4.015,134,815,4.445
2026,Lichtenberg,10367,3.895,151,815,4.445
2026,Lichtenberg,10369,3.797,159,815,4.445
2026,Lichtenberg,13051,4.410,94,815,4.445
2026,Lichtenberg,13053,5.588,30,815,4.445
2026,Lichtenberg,13055,4.527,78,815,4.445
2026,Lichtenberg,13057,4.795,55,815,4.445
2026,Lichtenberg,13059,4.661,69,815,4.445
2026,Marzahn-Hellersdorf,12619,3.756,164,667,4.445
2026,Marzahn-Hellersdorf,12621,6.229,13,667,4.445
2026,Marzahn-Hellersdorf,12623,6.101,14,667,4.445
2026,Marzahn-Hellersdorf,12627,4.037,132,667,4.445
2026,Marzahn-Hellersdorf,12629,4.144,122,667,4.445
2026,Marzahn-Hellersdorf,12679,3.953,144,667,4.445
2026,Marzahn-Hellersdorf,12681,4.798,54,667,4.445
2026,Marzahn-Hellersdorf,12683,6.008,18,667,4.445
2026,Marzahn-Hellersdorf,12685,4.742,61,667,4.445
2026,Marzahn-Hellersdorf,12687,4.548,77,667,4.445
2026,Marzahn-Hellersdorf,12689,4.061,130,667,4.445
2026,Mitte,10115,4.725,54,1.251,4.445
2026,Mitte,10117,5.391,30,1.251,4.445
2026,Mitte,10119,4.469,76,1.251,4.445
2026,Mitte,10178,4.279,100,1.251,4.445
2026,Mitte,10179,4.790,46,1.251,4.445
2026,Mitte,10551,3.440,166,1.251,4.445
2026,Mitte,10553,3.560,158,1.251,4.445
2026,Mitte,10555,3.818,142,1.251,4.445
2026,Mitte,10557,4.368,98,1.251,4.445
2026,Mitte,10559,3.758,146,1.251,4.445
2026,Mitte,10785,5.373,31,1.251,4.445
2026,Mitte,10787,4.761,50,1.251,4.445
2026,Mitte,13347,3.588,157,1.251,4.445
2026,Mitte,13349,3.542,160,1.251,4.445
2026,Mitte,13351,3.472,164,1.251,4.445
2026,Mitte,13353,3.454,165,1.251,4.445
2026,Mitte,13355,4.319,99,1.251,4.445
2026,Mitte,13357,3.706,150,1.251,4.445
2026,Mitte,13359,3.601,155,1.251,4.445
2026,Neukölln,12043,3.477,180,814,4.445
2026,Neukölln,12045,3.129,190,814,4.445
2026,Neukölln,12047,3.131,189,814,4.445
2026,Neukölln,12049,3.151,188,814,4.445
2026,Neukölln,12051,3.532,179,814,4.445
2026,Neukölln,12053,3.472,181,814,4.445
2026,Neukölln,12055,3.314,186,814,4.445
2026,Neukölln,12057,4.158,120,814,4.445
2026,Neukölln,12059,3.278,187,814,4.445
2026,Neukölln,12347,4.226,110,814,4.445
2026,Neukölln,12349,4.737,62,814,4.445
2026,Neukölln,12351,4.560,75,814,4.445
2026,Neukölln,12353,4.455,89,814,4.445
2026,Neukölln,12355,5.437,33,814,4.445
2026,Neukölln,12357,5.596,29,814,4.445
2026,Neukölln,12359,4.097,128,814,4.445
2026,Pankow,10405,4.612,73,1.085,4.445
2026,Pankow,10407,4.370,97,1.085,4.445
2026,Pankow,10409,3.597,174,1.085,4.445
2026,Pankow,10435,4.455,88,1.085,4.445
2026,Pankow,10437,3.986,139,1.085,4.445
2026,Pankow,10439,3.790,160,1.085,4.445
2026,Pankow,13086,4.480,84,1.085,4.445
2026,Pankow,13088,4.494,81,1.085,4.445
2026,Pankow,13089,6.300,11,1.085,4.445
2026,Pankow,13125,5.648,28,1.085,4.445
2026,Pankow,13127,5.910,23,1.085,4.445
2026,Pankow,13156,5.288,39,1.085,4.445
2026,Pankow,13158,5.711,27,1.085,4.445
2026,Pankow,13187,4.636,72,1.085,4.445
2026,Pankow,13189,3.992,137,1.085,4.445
2026,Reinickendorf,13403,3.647,170,776,4.445
2026,Reinickendorf,13405,5.245,40,776,4.445
2026,Reinickendorf,13407,3.776,162,776,4.445
2026,Reinickendorf,13409,3.632,172,776,4.445
2026,Reinickendorf,13435,4.550,76,776,4.445
2026,Reinickendorf,13437,4.107,127,776,4.445
2026,Reinickendorf,13439,4.811,53,776,4.445
2026,Reinickendorf,13465,6.708,4,776,4.445
2026,Reinickendorf,13467,6.062,15,776,4.445
2026,Reinickendorf,13469,5.552,31,776,4.445
2026,Reinickendorf,13503,6.447,9,776,4.445
2026,Reinickendorf,13507,4.466,86,776,4.445
2026,Reinickendorf,13509,3.832,155,776,4.445
2026,Spandau,13581,4.214,113,810,4.445
2026,Spandau,13583,3.403,185,810,4.445
2026,Spandau,13585,4.001,136,810,4.445
2026,Spandau,13587,4.865,52,810,4.445
2026,Spandau,13589,4.730,63,810,4.445
2026,Spandau,13591,5.322,38,810,4.445
2026,Spandau,13593,4.689,66,810,4.445
2026,Spandau,13595,3.931,147,810,4.445
2026,Spandau,13597,4.164,119,810,4.445
2026,Spandau,13599,4.432,92,810,4.445
2026,Spandau,13629,3.954,143,810,4.445
2026,Spandau,14089,6.852,3,810,4.445
2026,Steglitz-Zehlendorf,12163,4.260,106,1.013,4.445
2026,Steglitz-Zehlendorf,12165,4.940,48,1.013,4.445
2026,Steglitz-Zehlendorf,12167,3.953,145,1.013,4.445
2026,Steglitz-Zehlendorf,12169,3.955,142,1.013,4.445
2026,Steglitz-Zehlendorf,12203,4.508,80,1.013,4.445
2026,Steglitz-Zehlendorf,12205,5.975,19,1.013,4.445
2026,Steglitz-Zehlendorf,12207,4.684,67,1.013,4.445
2026,Steglitz-Zehlendorf,12209,5.425,34,1.013,4.445
2026,Steglitz-Zehlendorf,12247,4.441,90,1.013,4.445
2026,Steglitz-Zehlendorf,12249,4.387,95,1.013,4.445
2026,Steglitz-Zehlendorf,14109,6.514,7,1.013,4.445
2026,Steglitz-Zehlendorf,14129,6.506,8,1.013,4.445
2026,Steglitz-Zehlendorf,14163,6.059,16,1.013,4.445
2026,Steglitz-Zehlendorf,14165,4.781,58,1.013,4.445
2026,Steglitz-Zehlendorf,14167,6.237,12,1.013,4.445
2026,Steglitz-Zehlendorf,14169,4.998,46,1.013,4.445
2026,Steglitz-Zehlendorf,14195,7.110,1,1.013,4.445
2026,Tempelhof-Schöneberg,10777,4.185,118,986,4.445
2026,Tempelhof-Schöneberg,10779,3.955,141,986,4.445
2026,Tempelhof-Schöneberg,10781,4.039,131,986,4.445
2026,Tempelhof-Schöneberg,10783,4.157,121,986,4.445
2026,Tempelhof-Schöneberg,10823,3.836,154,986,4.445
2026,Tempelhof-Schöneberg,10825,4.119,125,986,4.445
2026,Tempelhof-Schöneberg,10827,3.966,140,986,4.445
2026,Tempelhof-Schöneberg,10829,3.649,169,986,4.445
2026,Tempelhof-Schöneberg,12099,3.812,158,986,4.445
2026,Tempelhof-Schöneberg,12101,4.346,100,986,4.445
2026,Tempelhof-Schöneberg,12103,3.783,161,986,4.445
2026,Tempelhof-Schöneberg,12105,3.987,138,986,4.445
2026,Tempelhof-Schöneberg,12107,5.042,45,986,4.445
2026,Tempelhof-Schöneberg,12109,4.246,108,986,4.445
2026,Tempelhof-Schöneberg,12157,4.011,135,986,4.445
2026,Tempelhof-Schöneberg,12159,4.481,83,986,4.445
2026,Tempelhof-Schöneberg,12161,4.205,117,986,4.445
2026,Tempelhof-Schöneberg,12277,5.209,42,986,4.445
2026,Tempelhof-Schöneberg,12279,4.322,101,986,4.445
2026,Tempelhof-Schöneberg,12305,5.080,43,986,4.445
2026,Tempelhof-Schöneberg,12307,5.751,26,986,4.445
2026,Tempelhof-Schöneberg,12309,4.932,49,986,4.445
2026,Treptow-Köpenick,12435,3.821,156,986,4.445
2026,Treptow-Köpenick,12437,3.836,153,986,4.445
2026,Treptow-Köpenick,12439,4.352,99,986,4.445
2026,Treptow-Köpenick,12459,3.897,150,986,4.445
2026,Treptow-Köpenick,12487,4.412,93,986,4.445
2026,Treptow-Köpenick,12489,4.214,114,986,4.445
2026,Treptow-Köpenick,12524,5.890,24,986,4.445
2026,Treptow-Köpenick,12526,5.948,20,986,4.445
2026,Treptow-Köpenick,12527,5.793,25,986,4.445
2026,Treptow-Köpenick,12555,4.514,79,986,4.445
2026,Treptow-Köpenick,12557,4.487,82,986,4.445
2026,Treptow-Köpenick,12559,5.238,41,986,4.445
2026,Treptow-Köpenick,12587,4.645,70,986,4.445
2026,Treptow-Köpenick,12589,6.545,6,986,4.445
